epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08101,1.61504,4.38471,1.6123,0.13876,0.125,0.08383,0.05785,1.30444,3.27387,1.29484,0,0,0
2,16.4365,1.8114,4.24343,1.75909,0.24904,0.16667,0.09989,0.06481,1.26955,3.2148,1.2868,1.6505e-05,1.6505e-05,1.6505e-05
3,24.6379,1.25293,3.66148,1.65096,0.25485,0.20833,0.11052,0.07528,1.29878,3.19782,1.29417,3.26799e-05,3.26799e-05,3.26799e-05
4,33.3867,1.38061,2.88143,1.39833,0.16716,0.22917,0.0982,0.07192,1.26249,3.33903,1.27607,4.85247e-05,4.85247e-05,4.85247e-05
5,42.2873,0.93725,1.96277,1.11219,0.24486,0.35417,0.09292,0.0527,1.32453,4.81252,1.32269,6.40395e-05,6.40395e-05,6.40395e-05
6,50.9658,1.06212,1.54145,1.16373,0.12138,0.22917,0.0755,0.03871,1.3779,6.71215,1.33981,7.92242e-05,7.92242e-05,7.92242e-05
7,60.2225,1.08215,1.91335,1.1016,0.10518,0.28044,0.09469,0.04758,1.33074,6.31845,1.3409,9.40788e-05,9.40788e-05,9.40788e-05
8,68.8819,1.0113,1.83864,1.15761,0.10235,0.35417,0.09612,0.03964,1.29013,6.24913,1.32822,0.000108603,0.000108603,0.000108603
9,77.7187,0.92688,1.41632,1.12236,0.11028,0.22917,0.09915,0.0506,1.36142,7.85995,1.35933,0.000122798,0.000122798,0.000122798
10,85.9768,0.80028,1.7203,1.21298,0.15155,0.375,0.12263,0.06557,1.34982,8.67607,1.35414,0.000136662,0.000136662,0.000136662
11,94.1058,1.02,1.30887,1.0846,0.153,0.20833,0.12478,0.08499,1.28535,8.0316,1.32136,0.000150197,0.000150197,0.000150197
12,102.237,0.98195,1.13049,1.08349,0.05287,0.35417,0.09542,0.07109,1.32851,7.46766,1.362,0.000163401,0.000163401,0.000163401
13,110.002,0.90972,1.15584,1.11793,0.04679,0.33333,0.03458,0.01612,1.50965,7.24611,1.41908,0.000176275,0.000176275,0.000176275
14,117.647,0.58061,2.0966,1.01304,0.09775,0.125,0.05432,0.03103,1.69505,6.26387,1.3986,0.000188819,0.000188819,0.000188819
15,125.206,0.79777,1.07266,1.17533,0.19761,0.1875,0.14513,0.09755,1.7484,6.31381,1.34378,0.000201034,0.000201034,0.000201034
16,133.606,0.92917,1.47132,1.19107,0.20149,0.1875,0.17256,0.10988,1.80443,5.92168,1.39844,0.000212918,0.000212918,0.000212918
17,141.763,0.85113,1.18048,1.07249,0.09455,0.39581,0.12829,0.08519,1.77683,5.70614,1.40681,0.000224472,0.000224472,0.000224472
18,149.72,0.8951,0.97871,1.03456,0.09455,0.39581,0.12829,0.08519,1.77683,5.70614,1.40681,0.000235695,0.000235695,0.000235695
19,157.51,0.91916,1.14304,1.02639,0.09111,0.25,0.08514,0.05305,1.78185,6.34723,1.55217,0.000246589,0.000246589,0.000246589
20,165.146,0.76893,1.04244,1.00138,0.09111,0.25,0.08514,0.05305,1.78185,6.34723,1.55217,0.000257153,0.000257153,0.000257153
21,172.825,0.84922,0.97708,1.05915,0.09687,0.33333,0.08874,0.0483,1.75439,4.75368,1.64873,0.000267387,0.000267387,0.000267387
22,180.711,0.76508,0.96255,0.99938,0.09687,0.33333,0.08874,0.0483,1.75439,4.75368,1.64873,0.00027729,0.00027729,0.00027729
23,188.438,0.87804,0.85485,1.036,0.06665,0.25,0.0917,0.03572,1.71014,5.09402,1.5651,0.000286864,0.000286864,0.000286864
24,195.988,0.7888,1.24265,1.18056,0.06665,0.25,0.0917,0.03572,1.71014,5.09402,1.5651,0.000296108,0.000296108,0.000296108
25,203.657,0.71624,0.9149,0.95793,0.15103,0.35339,0.07405,0.04275,1.67135,5.44173,1.42147,0.000305021,0.000305021,0.000305021
26,211.254,1.03538,1.11968,1.06163,0.15103,0.35339,0.07405,0.04275,1.67135,5.44173,1.42147,0.000313604,0.000313604,0.000313604
27,218.84,0.79755,1.26002,1.22324,0.18029,0.29167,0.12587,0.08975,1.74849,5.37281,1.48556,0.000321858,0.000321858,0.000321858
28,226.387,0.71612,1.30243,0.9708,0.18029,0.29167,0.12587,0.08975,1.74849,5.37281,1.48556,0.000329781,0.000329781,0.000329781
29,234.085,0.8281,1.1678,1.035,0.14238,0.35417,0.13225,0.0656,1.75088,5.58804,1.54169,0.000337374,0.000337374,0.000337374
30,241.643,0.78107,0.82124,0.96008,0.14238,0.35417,0.13225,0.0656,1.75088,5.58804,1.54169,0.000344637,0.000344637,0.000344637
31,249.271,0.79595,0.91521,0.93636,0.07986,0.33333,0.18268,0.08172,1.78916,5.16684,1.6356,0.00035157,0.00035157,0.00035157
32,257.691,0.63344,0.84289,0.90596,0.07986,0.33333,0.18268,0.08172,1.78916,5.16684,1.6356,0.000358173,0.000358173,0.000358173
33,266.969,0.68977,0.92881,0.92104,0.0953,0.375,0.13556,0.07652,1.76731,4.65887,1.57737,0.000364446,0.000364446,0.000364446
34,275.169,0.78109,1.18165,1.13626,0.0953,0.375,0.13556,0.07652,1.76731,4.65887,1.57737,0.000370389,0.000370389,0.000370389
35,284.688,0.67464,0.85172,0.96564,0.55801,0.0625,0.03432,0.01743,1.6216,4.44683,1.51735,0.000376002,0.000376002,0.000376002
36,292.891,0.78377,1.04873,1.00989,0.55801,0.0625,0.03432,0.01743,1.6216,4.44683,1.51735,0.000381285,0.000381285,0.000381285
37,300.809,0.68947,0.94656,0.9859,0.06863,0.0625,0.01984,0.01407,1.70296,4.67965,1.47858,0.000386237,0.000386237,0.000386237
38,309.189,0.81916,1.0294,1.09002,0.06863,0.0625,0.01984,0.01407,1.70296,4.67965,1.47858,0.00039086,0.00039086,0.00039086
39,317.262,0.70267,0.86626,0.98407,0.32308,0.10417,0.05579,0.03206,1.71112,4.81425,1.53778,0.000395152,0.000395152,0.000395152
40,325.503,0.612,0.68128,0.9385,0.32308,0.10417,0.05579,0.03206,1.71112,4.81425,1.53778,0.000399115,0.000399115,0.000399115
41,333.432,0.6237,0.81015,1.0599,0.16263,0.0625,0.05342,0.02527,1.95312,4.39562,1.67026,0.000402747,0.000402747,0.000402747
42,341.301,0.85359,0.89463,1.01652,0.16263,0.0625,0.05342,0.02527,1.95312,4.39562,1.67026,0.00040605,0.00040605,0.00040605
43,349.286,0.63183,0.72452,0.96386,0.16914,0.20833,0.08777,0.03699,2.16813,4.11536,2.02047,0.000409022,0.000409022,0.000409022
44,357.106,0.62036,0.90242,1.00197,0.16914,0.20833,0.08777,0.03699,2.16813,4.11536,2.02047,0.000411664,0.000411664,0.000411664
45,365.885,0.61335,0.93149,0.98509,0.2893,0.10417,0.08109,0.03282,2.25824,5.40094,2.4161,0.000413976,0.000413976,0.000413976
46,374.693,0.59608,0.65722,1.01429,0.2893,0.10417,0.08109,0.03282,2.25824,5.40094,2.4161,0.000415958,0.000415958,0.000415958
47,382.638,0.6833,0.85683,1.00987,0.28807,0.10417,0.10158,0.04181,2.08706,4.51986,2.72297,0.00041761,0.00041761,0.00041761
48,391.407,0.78678,0.88353,1.10007,0.28807,0.10417,0.10158,0.04181,2.08706,4.51986,2.72297,0.000418932,0.000418932,0.000418932
49,400.067,0.70272,0.85513,0.99398,0.5092,0.10417,0.11838,0.04983,2.19457,4.40543,2.83405,0.000419924,0.000419924,0.000419924
50,407.393,0.68741,0.83203,1.01824,0.5092,0.10417,0.11838,0.04983,2.19457,4.40543,2.83405,0.000420586,0.000420586,0.000420586
51,414.226,0.73433,0.94705,1.00992,0.18198,0.22917,0.16917,0.06067,2.15551,3.83639,3.01807,0.000420918,0.000420918,0.000420918
52,421.469,0.60565,0.62611,0.95034,0.18198,0.22917,0.16917,0.06067,2.15551,3.83639,3.01807,0.000420919,0.000420919,0.000420919
53,428.274,0.59385,0.59543,0.94891,0.18198,0.22917,0.16917,0.06067,2.15551,3.83639,3.01807,0.000420591,0.000420591,0.000420591
54,435.264,0.64623,1.09566,1.18194,0.28037,0.14583,0.1299,0.05894,2.03161,5.34529,2.32899,0.000419932,0.000419932,0.000419932
55,442.026,0.54605,0.65352,0.92038,0.28037,0.14583,0.1299,0.05894,2.03161,5.34529,2.32899,0.000418944,0.000418944,0.000418944
56,448.902,0.66284,0.67888,0.98025,0.28037,0.14583,0.1299,0.05894,2.03161,5.34529,2.32899,0.000417625,0.000417625,0.000417625
57,455.924,0.62955,0.64388,0.92327,0.22014,0.22917,0.07851,0.03759,1.93719,6.1145,2.16082,0.000415977,0.000415977,0.000415977
58,462.948,0.67343,0.75626,0.96633,0.22014,0.22917,0.07851,0.03759,1.93719,6.1145,2.16082,0.000413998,0.000413998,0.000413998
59,470.74,0.66474,0.76092,0.93646,0.22014,0.22917,0.07851,0.03759,1.93719,6.1145,2.16082,0.000411689,0.000411689,0.000411689
60,480.255,0.75374,0.85895,1.08471,0.23068,0.22917,0.07276,0.04601,1.93045,4.4743,1.90065,0.00040905,0.00040905,0.00040905
61,488.999,0.66752,0.90305,1.1132,0.23068,0.22917,0.07276,0.04601,1.93045,4.4743,1.90065,0.000406081,0.000406081,0.000406081
62,495.857,0.55569,0.79106,0.96699,0.23068,0.22917,0.07276,0.04601,1.93045,4.4743,1.90065,0.000402782,0.000402782,0.000402782
63,503.454,0.52865,0.57404,0.87715,0.34395,0.22917,0.10496,0.08434,1.82059,4.90292,1.93612,0.000399153,0.000399153,0.000399153
64,511.088,0.62719,0.768,1.05852,0.34395,0.22917,0.10496,0.08434,1.82059,4.90292,1.93612,0.000395194,0.000395194,0.000395194
