epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1184.89,1.20871,3.57023,1.58972,0.52327,0.2051,0.04537,0.01933,2.11177,50.2616,3.33415,0.00019992,0.00019992,0.00019992
2,2320.16,1.48129,3.41588,1.81287,0.00129,0.06411,0.00137,0.00059,3.10828,124085,250.986,0.00040615,0.00040615,0.00040615
3,3451.44,1.84561,3.6517,2.01486,2e-05,0.00556,1e-05,0,3.91415,2.13173e+06,9927.04,0.000610317,0.000610317,0.000610317
4,4598.28,1.96619,3.51328,2.1468,2e-05,0.00556,1e-05,0,4.12393,9.01395e+07,1432.28,0.000812424,0.000812424,0.000812424
5,5718.8,1.80825,3.39474,2.07412,0.00133,0.06235,0.00215,0.00035,3.89287,71360.8,158.169,0.000816507,0.000816507,0.000816507
6,6843.42,1.87308,3.25451,2.11485,0.00348,0.25745,0.00339,0.00104,2.71318,38.0479,4.71988,0.000812383,0.000812383,0.000812383
7,7963.09,1.79831,3.26129,2.05475,0.0003,0.018,0.00018,3e-05,4.17375,10.1209,7.43926,0.00080826,0.00080826,0.00080826
8,9084.72,1.82852,3.14249,2.00886,0.02691,0.29829,0.03391,0.01475,2.27804,11.421,3.54379,0.000804137,0.000804137,0.000804137
9,10206.3,1.73042,3.10303,1.97994,0.02289,0.14973,0.02162,0.0089,2.32857,5.10025,3.14111,0.000800013,0.000800013,0.000800013
10,11336.3,1.73245,3.00075,1.98922,0.01936,0.16255,0.02334,0.01159,2.13863,9337.53,3.90093,0.00079589,0.00079589,0.00079589
11,12457.3,1.68414,3.09692,1.96943,0.09901,0.07721,0.0296,0.00958,2.56266,4.51537,3.32352,0.000791767,0.000791767,0.000791767
12,13578.2,1.69282,2.98874,1.93374,0.00441,0.39808,0.00466,0.00183,2.52214,46.3246,3.13532,0.000787643,0.000787643,0.000787643
13,14700.9,1.65874,3.01642,1.9143,0.1743,0.22223,0.05591,0.01986,2.20639,3.9428,2.90502,0.00078352,0.00078352,0.00078352
14,15822.9,1.63043,2.91039,1.89126,0.30855,0.18032,0.08212,0.03568,2.08583,3.50001,2.6854,0.000779396,0.000779396,0.000779396
15,16944.2,1.7508,2.9282,1.96076,0.15876,0.18527,0.03043,0.01201,2.30007,5.00252,3.00981,0.000775273,0.000775273,0.000775273
16,18066.8,1.68884,2.91805,1.94958,0.07129,0.21646,0.08288,0.03981,2.04332,3.66349,2.76503,0.00077115,0.00077115,0.00077115
17,19190.3,1.63536,2.96173,1.90912,0.19803,0.28508,0.09903,0.04717,1.81324,3.52059,2.45922,0.000767026,0.000767026,0.000767026
18,20313.9,1.61996,2.8197,1.90023,0.06721,0.23942,0.09473,0.05017,1.82655,3.4001,2.49614,0.000762903,0.000762903,0.000762903
19,21434.2,1.58678,2.82651,1.85113,0.08903,0.26237,0.08565,0.03586,2.19411,3.8312,2.88793,0.00075878,0.00075878,0.00075878
20,22555.6,1.65168,2.82453,1.90877,0.10782,0.22914,0.10665,0.05047,1.89739,3.3752,2.54672,0.000754656,0.000754656,0.000754656
21,23677.4,1.56878,2.76719,1.83657,0.12319,0.20827,0.10244,0.04956,1.80009,3.36226,2.50532,0.000750533,0.000750533,0.000750533
22,24799.6,1.54841,2.71393,1.7988,0.10721,0.22294,0.10151,0.04843,1.85687,3.37744,2.45062,0.00074641,0.00074641,0.00074641
23,25919.8,1.54712,2.7314,1.79202,0.15151,0.26941,0.13008,0.07107,1.72409,3.21447,2.3476,0.000742286,0.000742286,0.000742286
24,27042.4,1.47556,2.67431,1.76139,0.09966,0.32887,0.0954,0.04604,1.79151,3.21148,2.40554,0.000738163,0.000738163,0.000738163
25,28163.6,1.5001,2.65541,1.80213,0.11974,0.29363,0.14815,0.08284,1.77021,3.07078,2.4082,0.00073404,0.00073404,0.00073404
26,29285.9,1.51959,2.62498,1.77172,0.09873,0.31677,0.13252,0.06954,1.75044,3.19569,2.42238,0.000729916,0.000729916,0.000729916
27,30408.4,1.50509,2.62336,1.74346,0.09032,0.28394,0.12552,0.06367,1.75856,3.25347,2.3049,0.000725793,0.000725793,0.000725793
28,31529.8,1.45829,2.59629,1.7298,0.11073,0.28284,0.12287,0.06767,1.63868,3.17937,2.2291,0.00072167,0.00072167,0.00072167
